sample_id,image_name,engagement,behavior,short_text,detailed_text,attention_score,engagement_score,keywords,text_length
b4766a33-9a7e-44c6-baed-f354aa3da22a,0058.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.99,0.9,"attention, learning",3
0f8ccb3f-4a17-4d29-9834-10709c968603,0059.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.86,0.77,"learning, attention",3
1996e29b-e08d-4873-8df9-86cf613d4cb6,0060.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.66,0.63,"learning, focus",3
4a0f5c3f-2397-4db2-b88d-380808fb921f,0061.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.94,0.35,"focus, learning",3
2664e2ee-a05b-41f9-abcc-ecf793482190,0062.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.34,0.66,"learning, attention",3
189cfd59-9272-4e5f-b228-e534b13afecc,0063.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.48,0.45,"focus, attention",3
3f332952-9b4c-491a-b014-0a3733aa8a30,0064.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.88,0.74,"attention, focus",3
6d2f721c-c358-4308-9096-0bb3662fb2c6,0065.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.73,0.66,"learning, focus",3
6f27b11e-8409-4925-a55e-85c0b0019b0f,0066.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.33,0.42,"attention, learning",3
ba5fedf9-fee1-46b4-85b1-042c9089cb54,0067.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.74,0.81,"learning, fatigue",3
3a496ccc-e26a-4dbc-911a-1299e8b87347,0068.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.96,0.76,"focus, fatigue",3
e3979f90-9c2f-4ad1-b80e-3b469c14c266,0069.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.63,0.79,"learning, attention",3
3c4c9293-c43c-4873-9aa7-8c086e13e8f3,0070.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.77,0.63,"attention, focus",3
646afd54-5580-4a92-8401-ad3112237a8e,0071.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.63,0.79,"learning, focus",3
2798e452-20cd-4c7e-9525-23fe2e577789,0072.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.47,0.75,"learning, attention",3
be59f717-b0a6-4dfb-95af-4d8427c1fd30,0073.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.49,1.0,"focus, attention",3
e6c42937-89ae-43e4-ac6c-c01c38a4b6c3,0074.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.66,0.59,"focus, fatigue",3
46baf89b-32de-4a91-8d7d-35c9d41e81dd,0075.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.42,0.3,"learning, attention",3
348ae7ca-c780-4302-ab6c-2d0e48d87790,0076.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.88,0.87,"fatigue, attention",3
a533cc0a-1856-4c1e-b2da-543e60b4919c,0077.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.93,0.43,"focus, learning",3
51d3703c-db97-46cd-afc4-bb6571486de6,0078.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.65,0.56,"attention, fatigue",3
c72b0c64-6ced-440a-9bb6-4427df870305,0079.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.38,0.84,"learning, focus",3
10b36aee-83d9-4d8f-8848-f0d2285f9d0a,0080.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.38,0.59,"learning, fatigue",3
aab9762c-56ef-466d-9498-949cce5450c5,0081.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.77,0.74,"focus, attention",3
949d0ba2-ffd1-49c6-9d78-47e59fc73f2c,0082.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.49,0.85,"attention, fatigue",3
1445effb-0831-48ad-b7c2-ec9040fc7289,0083.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.92,0.47,"fatigue, focus",3
c12ec36b-9619-49f4-b906-77f63a54b602,0084.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.77,0.32,"focus, attention",3
336c25ed-ea26-49d7-83dc-1b6d7366c220,0085.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.92,0.67,"fatigue, focus",3
372c062d-015e-4e5e-af34-99062cf7dd87,0086.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.58,0.85,"attention, focus",3
fbebec0e-5eb3-4291-993b-88b93a56494a,0087.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.69,0.97,"fatigue, focus",3
208c2dfb-e466-4aa4-afdf-249fb042da5a,0088.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.32,0.55,"learning, focus",3
3c52e86e-2f24-4a28-ac23-ae57a8102e2d,0089.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.56,0.44,"fatigue, focus",3
72f5148d-d12d-46f2-8733-e8cc85c8ab9a,0090.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.52,0.36,"focus, fatigue",3
1ff14899-c4fb-45eb-a5c2-591c18019381,0091.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.6,0.74,"fatigue, learning",3
9a0c4a36-ce25-42a3-a86c-595272ee8377,0092.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.42,0.97,"learning, focus",3
4e6af860-5b37-4f5e-993a-220f9c671675,0093.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.72,0.46,"learning, fatigue",3
6b473b35-7a5f-4bf8-a73c-2148a4e9e25e,0094.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.79,0.68,"attention, fatigue",3
3816faaf-3514-4ebc-b4bf-9e3f361480d1,0095.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.47,0.91,"learning, attention",3
5e60a4a1-6760-4e1a-9d71-e438d3a7568e,0096.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.59,0.44,"focus, learning",3
c1dde281-bd51-4d82-9ff2-fd83721c2ae3,0097.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.76,0.56,"fatigue, focus",3
5037fc99-ed84-460b-a841-159b261d1fa3,0098.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.85,0.3,"focus, attention",3
f16f3192-0ec1-418d-a427-d35560c0a14e,0099.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.73,0.39,"attention, fatigue",3
f0fe18d4-e5a7-4984-930a-3b07a2def180,0100.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.96,0.7,"focus, learning",3
0529188e-0fc6-4c37-a02f-806a767db8f0,0101.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.88,0.42,"focus, attention",3
df7f1e5a-eb5b-4ebf-94dd-0eb9364fda56,0102.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.75,0.69,"learning, attention",3
05d5db5c-6d92-4066-a930-33887e050706,0131.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.93,0.53,"attention, fatigue",3
595739f0-a971-41ae-9e86-933ee6fdccb5,0132.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.84,0.66,"focus, learning",3
ebdc0d8d-dc47-497a-934c-9769eea957aa,0133.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.9,0.89,"learning, attention",3
fd41ed75-a00a-4e9f-82b2-b43d72dd9ad7,0134.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.45,0.92,"learning, focus",3
dde83932-f777-40b8-b327-103950dc9dc3,0135.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.42,0.82,"focus, fatigue",3
bb83f956-dc8a-45ed-86ac-7fad9b8ef4a5,0136.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.49,0.48,"fatigue, learning",3
6f1b0594-c145-4c85-9617-29b63d84fa4b,0137.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.57,0.34,"learning, fatigue",3
d6f843b8-8cef-4f1e-88db-40cc49af56fe,0138.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.41,0.57,"fatigue, attention",3
9fcb9971-b61c-48d9-b2be-e61fd20b1387,0139.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.38,0.32,"fatigue, focus",3
4e65b561-5312-4349-9714-9a6f8009ba8a,0140.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.66,0.53,"learning, fatigue",3
8aff83c4-9955-45b5-98ce-65200a0656e5,0141.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.97,0.48,"fatigue, focus",3
e3e49451-ecd9-444c-a8f0-87a34d98beca,0142.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.88,0.83,"focus, learning",3
98b71e40-92b4-4cd3-aa89-0866b90728ed,0143.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.45,0.61,"attention, focus",3
075f7231-259e-43f0-8597-5f2286eb8449,0144.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.69,0.71,"fatigue, focus",3
d233e845-9ce7-4bd4-8f1f-c4bca582c3b4,0145.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.72,0.55,"fatigue, focus",3
20474bea-6c59-4546-8027-aa88515bc7f4,0146.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.3,0.6,"focus, attention",3
ca1ca05a-a715-4cf5-b8fb-d94cf6445be9,0147.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.46,0.9,"focus, attention",3
8f4dd8ee-d7e5-46e9-9538-5e314fabbc41,0148.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.94,0.79,"attention, focus",3
e684bf06-e13e-49cf-9266-90359aae3081,0149.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.62,0.92,"learning, focus",3
1d2e8cc8-ce7c-43c7-8c20-080bec330375,0150.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.59,0.38,"attention, learning",3
4b09f108-8b68-4655-bb7e-7b25be2ce588,0151.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.94,0.66,"learning, focus",3
b082c05a-47c2-4621-84ad-d0f0f12388c1,0152.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.33,0.56,"attention, learning",3
bbcb5b90-a9c3-4291-9b63-5dd9358ec884,0153.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.58,0.54,"focus, attention",3
471c2fab-fe94-4c47-b17d-5037c12c6c24,0154.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.46,0.68,"attention, focus",3
5b85522a-f60f-4294-b98e-0fd72bf2725c,0155.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.98,0.74,"learning, focus",3
61ddf15f-a9bb-43b5-bb95-c6a0ad623c88,0156.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.66,0.88,"learning, fatigue",3
6efdcf54-c05f-4481-a5f2-c838d4f5e8a8,0157.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.82,0.83,"learning, attention",3
c445d8e1-f303-42b4-9ca2-c1940ec6e1f6,0158.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.51,0.89,"learning, focus",3
6d6f0706-5c82-49fa-b127-1dd93f42e8e8,0159.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.67,0.45,"learning, attention",3
e7465edb-a3b4-45b4-972d-5616cf7aaa80,0160.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.41,0.75,"fatigue, learning",3
1c154394-cf23-4ec4-abc7-238d16c66444,0161.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.53,0.73,"attention, focus",3
1876d358-e5d8-484f-8251-47fc8f64ad71,0162.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.67,0.42,"focus, fatigue",3
2c678b74-b0ae-49be-8d6a-ee20fa18f73c,0163.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.34,0.47,"learning, focus",3
0e4b60a6-d47f-439c-bfd6-0fb7f326f877,0164.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.89,0.84,"attention, learning",3
87f1b401-2165-4ea0-8746-40f5d2e9b553,0165.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.95,0.82,"learning, focus",3
c7c22e1f-e6ab-4986-a6cc-76bd786a6de4,0166.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.59,0.78,"attention, learning",3
b17a2636-e621-46d3-ae33-f830843a816d,0167.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.67,0.93,"learning, focus",3
7fd6ec71-fd54-4396-a18d-bb44fc4c0fd4,0168.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.51,0.95,"learning, attention",3
2aac26de-a67b-449a-8220-7db98d804942,0169.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.46,0.74,"attention, focus",3
c64acaef-6c8c-405c-940a-11893bd3e0b8,0170.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.73,0.9,"fatigue, focus",3
052cba47-3abb-4302-a272-def62e4fbcc9,0171.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.7,0.38,"attention, focus",3
f838c3d7-0d9d-4574-8163-0edff915486d,0172.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.8,0.93,"focus, attention",3
c55b50a4-d7e5-4386-9e52-59b7e699eb99,0173.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.86,0.49,"focus, attention",3
db6b2c6b-b661-4659-a52f-00131bd146c2,0174.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.71,0.54,"fatigue, focus",3
483c6330-d2cf-406a-80f0-4025a57b862a,0175.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.69,0.4,"fatigue, attention",3
f02e5aeb-10e4-4bdc-9bfc-ebe4b8159191,0176.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.72,0.81,"focus, attention",3
ea68c04a-a58f-4ad2-bc41-b721167c7f87,0177.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.85,0.46,"learning, attention",3
532333e7-c2f9-419a-95a9-1c1d7a14ad8a,0178.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.97,0.72,"focus, attention",3
53e00a7b-cde1-4eec-9c92-2507d0c09e76,0179.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.92,0.62,"focus, learning",3
7547d298-60be-4660-bfb4-e955461f8cc9,0180.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.79,0.54,"fatigue, learning",3
d44a0494-bf48-4f0a-a0b8-32459ce60b5b,0181.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.69,0.36,"attention, fatigue",3
6bdcb609-641e-4669-9bb9-bd2808680d1a,0182.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.79,0.38,"focus, learning",3
f7b2e223-7bc4-4aaa-8eae-73bf1ac1b5a2,0183.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.43,0.85,"attention, fatigue",3
ba3db47a-bfec-4ef9-9ac8-a2172615147e,0184.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.75,0.59,"learning, focus",3
768d6675-eaeb-4dc4-befc-977adccf02d6,0185.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.55,0.51,"attention, fatigue",3
c5c7bce1-411c-40aa-9c8d-297f602027ac,0186.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.56,0.6,"attention, learning",3
e6ada606-1b94-4a25-b3af-2c85360610fb,0187.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.38,0.34,"learning, focus",3
396e00ca-6266-435e-be28-8379a04cc349,0188.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.36,0.72,"focus, attention",3
d484ef45-ffb7-47ef-8791-20d91cf05151,0189.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.41,0.51,"fatigue, learning",3
8cd4a12a-f371-4779-9f06-c185daa974b0,0190.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.31,0.98,"focus, learning",3
6812406f-9365-42b6-b430-bf76f4fdd843,0191.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.93,0.56,"focus, fatigue",3
97116747-46ea-48c4-afac-1e86d3c7385c,0192.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.48,0.86,"learning, fatigue",3
8345c30a-5338-4f55-b52d-2e21cc4a1441,0193.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.75,0.5,"fatigue, attention",3
8e44d812-a437-4051-9cc4-83ffdee34de5,0194.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.68,0.77,"learning, fatigue",3
1b868b25-0a05-4335-be82-f07db2251271,0195.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.67,0.68,"learning, fatigue",3
db83a3e6-9d77-40db-ad1a-ff745f4e3665,0196.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.72,0.76,"fatigue, focus",3
f5fdd8aa-8934-46a6-a9c0-ac7d2e9fa224,0197.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.6,0.63,"focus, fatigue",3
4d9ca3d8-ad1f-4b65-8ebf-ba6a4ef64218,0198.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.63,0.57,"learning, focus",3
a8f9aeb4-20b5-40ed-ac9c-51211f90d850,0199.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.97,0.94,"fatigue, learning",3
f9fe5090-5813-4058-a21d-d98cb72b3823,0200.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.43,0.68,"fatigue, attention",3
9800f9d9-b622-496e-8829-f32c5625956b,0201.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.98,0.66,"fatigue, focus",3
69a13655-348c-4f8d-a000-f0dec6256db9,0202.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.91,0.37,"fatigue, learning",3
ddb23e7b-4871-4270-9c5e-08c70cd2cd28,0203.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.41,0.49,"attention, learning",3
4aa3a389-feb0-4bad-bcd0-e6a1a541385a,0204.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.56,0.73,"focus, fatigue",3
91756be6-83d8-4f15-82b8-2050c851f13f,0205.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.76,0.49,"learning, attention",3
86093942-96b6-451c-b7bf-943aafc7cc2c,0206.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.6,0.96,"focus, fatigue",3
95409c27-3798-459a-a7f6-9f5d259d6f4f,0207.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.87,0.99,"learning, fatigue",3
002f9eef-bf73-45e7-a22e-17701346c32c,0208.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.87,0.62,"fatigue, learning",3
bf837d7f-af2a-4176-81b1-6e1a3989bbb8,0209.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.96,0.75,"fatigue, learning",3
94ac05ab-80a7-487e-b28b-fa0556d0b6bd,0210.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.62,0.67,"attention, fatigue",3
289e7e20-b178-46f8-9592-471d208970f7,0211.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.69,0.92,"attention, fatigue",3
23226cf8-6997-4d99-a128-1c5ef4604f68,0212.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.5,0.82,"attention, fatigue",3
a4e860b3-10a2-499e-bc17-a58190331315,0213.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.62,0.95,"learning, attention",3
06fb7c9b-cbff-4f09-be08-3f551c7af1f6,0214.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.35,0.43,"focus, learning",3
25bcc155-e342-40fe-85d7-9b8aa1630074,0215.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.62,0.55,"learning, fatigue",3
a9daffa8-8273-4b77-813c-2b071095594c,0216.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.7,0.72,"fatigue, learning",3
bf67af9e-5baf-4e83-a82b-9b7eca2878f3,0217.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.96,0.87,"attention, learning",3
b29a107a-c3cc-4230-9586-c3af7ead2264,0218.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.75,0.49,"learning, fatigue",3
8e0ca11f-ec60-4fad-b3b9-cb8478ba5043,0219.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.35,0.52,"focus, attention",3
eb86c17a-26f0-4ae3-9d60-fc7d1ceb0ac1,0220.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.87,0.45,"attention, fatigue",3
1fa1c734-3a68-408b-a1d1-5fbce98a29a8,0221.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.54,0.92,"fatigue, focus",3
cd9de715-2453-4e08-ac42-b64c1aa8a08e,0222.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.61,0.8,"fatigue, focus",3
cbff01b9-8ffd-412b-b10c-db4b2c50e36d,0223.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.4,0.89,"fatigue, learning",3
0711fbd7-8db6-46db-93a8-14b39acb7b0c,0224.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.37,0.54,"learning, fatigue",3
2def1d7f-bdf1-45fe-9104-9f3de3ac5179,0225.jpg,Engaged,Confused,Student appears confused,Student appears confused during learning session,0.89,0.54,"learning, attention",3
712c1b1c-e4f2-4d31-9228-ee771877186a,0226.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.84,0.71,"learning, attention",3
8499c699-7283-42b0-b384-a13bfd042151,0227.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.55,0.75,"learning, fatigue",3
6497b0a3-2f76-411e-918b-dbd7d60b1208,0228.jpg,Engaged,Confused,Learner shows confusion,Learner shows confusion during learning session,0.68,0.3,"learning, fatigue",3
