sample_id,image_name,engagement,behavior,age,gender,device,attention_score,session_duration
6f27b11e-8409-4925-a55e-85c0b0019b0f,0066.jpg,Engaged,Confused,19,Male,Tablet,0.38,101
ba5fedf9-fee1-46b4-85b1-042c9089cb54,0067.jpg,Engaged,Confused,22,Male,Tablet,0.85,57
3a496ccc-e26a-4dbc-911a-1299e8b87347,0068.jpg,Engaged,Confused,23,Male,Laptop,0.98,76
e3979f90-9c2f-4ad1-b80e-3b469c14c266,0069.jpg,Engaged,Confused,18,Male,Tablet,0.4,62
3c4c9293-c43c-4873-9aa7-8c086e13e8f3,0070.jpg,Engaged,Confused,23,Female,Laptop,0.64,108
646afd54-5580-4a92-8401-ad3112237a8e,0071.jpg,Engaged,Confused,25,Male,Laptop,0.59,70
2798e452-20cd-4c7e-9525-23fe2e577789,0072.jpg,Engaged,Confused,23,Male,Tablet,0.31,102
be59f717-b0a6-4dfb-95af-4d8427c1fd30,0073.jpg,Engaged,Confused,19,Male,Tablet,0.47,76
e6c42937-89ae-43e4-ac6c-c01c38a4b6c3,0074.jpg,Engaged,Confused,19,Male,Tablet,0.56,66
46baf89b-32de-4a91-8d7d-35c9d41e81dd,0075.jpg,Engaged,Confused,23,Male,Tablet,0.91,60
348ae7ca-c780-4302-ab6c-2d0e48d87790,0076.jpg,Engaged,Confused,21,Female,Laptop,0.95,64
a533cc0a-1856-4c1e-b2da-543e60b4919c,0077.jpg,Engaged,Confused,21,Male,Tablet,0.41,67
51d3703c-db97-46cd-afc4-bb6571486de6,0078.jpg,Engaged,Confused,18,Male,Mobile,0.56,42
c72b0c64-6ced-440a-9bb6-4427df870305,0079.jpg,Engaged,Confused,21,Male,Tablet,0.4,75
10b36aee-83d9-4d8f-8848-f0d2285f9d0a,0080.jpg,Engaged,Confused,23,Female,Mobile,0.66,11
aab9762c-56ef-466d-9498-949cce5450c5,0081.jpg,Engaged,Confused,19,Male,Tablet,0.94,120
949d0ba2-ffd1-49c6-9d78-47e59fc73f2c,0082.jpg,Engaged,Confused,25,Female,Laptop,0.88,91
1445effb-0831-48ad-b7c2-ec9040fc7289,0083.jpg,Engaged,Confused,19,Male,Laptop,0.55,36
c12ec36b-9619-49f4-b906-77f63a54b602,0084.jpg,Engaged,Confused,24,Female,Mobile,0.98,101
336c25ed-ea26-49d7-83dc-1b6d7366c220,0085.jpg,Engaged,Confused,18,Female,Mobile,0.32,27
372c062d-015e-4e5e-af34-99062cf7dd87,0086.jpg,Engaged,Confused,19,Male,Mobile,0.57,78
fbebec0e-5eb3-4291-993b-88b93a56494a,0087.jpg,Engaged,Confused,19,Male,Laptop,0.59,38
208c2dfb-e466-4aa4-afdf-249fb042da5a,0088.jpg,Engaged,Confused,22,Male,Laptop,0.94,56
3c52e86e-2f24-4a28-ac23-ae57a8102e2d,0089.jpg,Engaged,Confused,20,Female,Laptop,0.53,77
72f5148d-d12d-46f2-8733-e8cc85c8ab9a,0090.jpg,Engaged,Confused,19,Female,Laptop,0.83,52
1ff14899-c4fb-45eb-a5c2-591c18019381,0091.jpg,Engaged,Confused,19,Female,Mobile,0.92,101
9a0c4a36-ce25-42a3-a86c-595272ee8377,0092.jpg,Engaged,Confused,25,Female,Mobile,0.83,37
4e6af860-5b37-4f5e-993a-220f9c671675,0093.jpg,Engaged,Confused,23,Male,Laptop,0.87,69
6b473b35-7a5f-4bf8-a73c-2148a4e9e25e,0094.jpg,Engaged,Confused,22,Male,Tablet,0.71,53
3816faaf-3514-4ebc-b4bf-9e3f361480d1,0095.jpg,Engaged,Confused,24,Male,Tablet,0.38,111
5e60a4a1-6760-4e1a-9d71-e438d3a7568e,0096.jpg,Engaged,Confused,22,Male,Tablet,0.81,87
c1dde281-bd51-4d82-9ff2-fd83721c2ae3,0097.jpg,Engaged,Confused,18,Male,Laptop,0.95,76
5037fc99-ed84-460b-a841-159b261d1fa3,0098.jpg,Engaged,Confused,23,Female,Tablet,0.35,97
f16f3192-0ec1-418d-a427-d35560c0a14e,0099.jpg,Engaged,Confused,20,Male,Laptop,0.83,81
f0fe18d4-e5a7-4984-930a-3b07a2def180,0100.jpg,Engaged,Confused,24,Female,Mobile,0.68,34
0529188e-0fc6-4c37-a02f-806a767db8f0,0101.jpg,Engaged,Confused,25,Female,Tablet,0.48,61
df7f1e5a-eb5b-4ebf-94dd-0eb9364fda56,0102.jpg,Engaged,Confused,24,Female,Mobile,0.32,110
05d5db5c-6d92-4066-a930-33887e050706,0131.jpg,Engaged,Confused,23,Male,Tablet,0.75,71
595739f0-a971-41ae-9e86-933ee6fdccb5,0132.jpg,Engaged,Confused,18,Female,Mobile,0.61,65
ebdc0d8d-dc47-497a-934c-9769eea957aa,0133.jpg,Engaged,Confused,18,Male,Tablet,0.38,76
fd41ed75-a00a-4e9f-82b2-b43d72dd9ad7,0134.jpg,Engaged,Confused,21,Female,Mobile,0.76,80
dde83932-f777-40b8-b327-103950dc9dc3,0135.jpg,Engaged,Confused,25,Male,Laptop,0.96,108
bb83f956-dc8a-45ed-86ac-7fad9b8ef4a5,0136.jpg,Engaged,Confused,24,Male,Tablet,0.72,111
6f1b0594-c145-4c85-9617-29b63d84fa4b,0137.jpg,Engaged,Confused,22,Female,Laptop,0.68,58
d6f843b8-8cef-4f1e-88db-40cc49af56fe,0138.jpg,Engaged,Confused,24,Female,Tablet,0.53,93
9fcb9971-b61c-48d9-b2be-e61fd20b1387,0139.jpg,Engaged,Confused,25,Male,Mobile,0.94,23
4e65b561-5312-4349-9714-9a6f8009ba8a,0140.jpg,Engaged,Confused,19,Female,Tablet,0.34,46
8aff83c4-9955-45b5-98ce-65200a0656e5,0141.jpg,Engaged,Confused,23,Male,Mobile,0.39,120
e3e49451-ecd9-444c-a8f0-87a34d98beca,0142.jpg,Engaged,Confused,21,Male,Laptop,0.67,73
98b71e40-92b4-4cd3-aa89-0866b90728ed,0143.jpg,Engaged,Confused,18,Female,Laptop,0.77,47
075f7231-259e-43f0-8597-5f2286eb8449,0144.jpg,Engaged,Confused,21,Female,Mobile,0.73,16
d233e845-9ce7-4bd4-8f1f-c4bca582c3b4,0145.jpg,Engaged,Confused,22,Male,Tablet,0.96,79
20474bea-6c59-4546-8027-aa88515bc7f4,0146.jpg,Engaged,Confused,24,Male,Mobile,0.43,25
ca1ca05a-a715-4cf5-b8fb-d94cf6445be9,0147.jpg,Engaged,Confused,23,Female,Laptop,0.71,104
8f4dd8ee-d7e5-46e9-9538-5e314fabbc41,0148.jpg,Engaged,Confused,19,Female,Laptop,0.33,43
e684bf06-e13e-49cf-9266-90359aae3081,0149.jpg,Engaged,Confused,25,Female,Mobile,0.39,109
1d2e8cc8-ce7c-43c7-8c20-080bec330375,0150.jpg,Engaged,Confused,19,Male,Tablet,0.75,37
4b09f108-8b68-4655-bb7e-7b25be2ce588,0151.jpg,Engaged,Confused,21,Male,Tablet,0.55,64
b082c05a-47c2-4621-84ad-d0f0f12388c1,0152.jpg,Engaged,Confused,25,Female,Laptop,0.78,119
bbcb5b90-a9c3-4291-9b63-5dd9358ec884,0153.jpg,Engaged,Confused,18,Female,Laptop,0.89,115
471c2fab-fe94-4c47-b17d-5037c12c6c24,0154.jpg,Engaged,Confused,20,Female,Mobile,0.63,39
5b85522a-f60f-4294-b98e-0fd72bf2725c,0155.jpg,Engaged,Confused,25,Male,Mobile,0.48,103
61ddf15f-a9bb-43b5-bb95-c6a0ad623c88,0156.jpg,Engaged,Confused,20,Male,Laptop,0.54,58
6efdcf54-c05f-4481-a5f2-c838d4f5e8a8,0157.jpg,Engaged,Confused,24,Female,Laptop,0.7,55
c445d8e1-f303-42b4-9ca2-c1940ec6e1f6,0158.jpg,Engaged,Confused,21,Male,Tablet,0.79,43
6d6f0706-5c82-49fa-b127-1dd93f42e8e8,0159.jpg,Engaged,Confused,21,Male,Laptop,0.45,23
e7465edb-a3b4-45b4-972d-5616cf7aaa80,0160.jpg,Engaged,Confused,21,Female,Mobile,0.31,50
1c154394-cf23-4ec4-abc7-238d16c66444,0161.jpg,Engaged,Confused,21,Male,Laptop,0.59,37
1876d358-e5d8-484f-8251-47fc8f64ad71,0162.jpg,Engaged,Confused,22,Male,Tablet,0.88,95
2c678b74-b0ae-49be-8d6a-ee20fa18f73c,0163.jpg,Engaged,Confused,19,Female,Laptop,0.44,76
0e4b60a6-d47f-439c-bfd6-0fb7f326f877,0164.jpg,Engaged,Confused,19,Male,Laptop,0.92,27
87f1b401-2165-4ea0-8746-40f5d2e9b553,0165.jpg,Engaged,Confused,22,Female,Laptop,0.9,64
c7c22e1f-e6ab-4986-a6cc-76bd786a6de4,0166.jpg,Engaged,Confused,21,Female,Laptop,0.38,99
b17a2636-e621-46d3-ae33-f830843a816d,0167.jpg,Engaged,Confused,18,Male,Laptop,0.42,86
7fd6ec71-fd54-4396-a18d-bb44fc4c0fd4,0168.jpg,Engaged,Confused,21,Male,Laptop,0.35,105
2aac26de-a67b-449a-8220-7db98d804942,0169.jpg,Engaged,Confused,23,Male,Tablet,0.83,31
c64acaef-6c8c-405c-940a-11893bd3e0b8,0170.jpg,Engaged,Confused,21,Male,Laptop,0.67,97
052cba47-3abb-4302-a272-def62e4fbcc9,0171.jpg,Engaged,Confused,23,Female,Tablet,0.5,44
f838c3d7-0d9d-4574-8163-0edff915486d,0172.jpg,Engaged,Confused,20,Female,Laptop,0.51,112
c55b50a4-d7e5-4386-9e52-59b7e699eb99,0173.jpg,Engaged,Confused,25,Male,Mobile,0.67,51
db6b2c6b-b661-4659-a52f-00131bd146c2,0174.jpg,Engaged,Confused,19,Male,Laptop,0.44,23
483c6330-d2cf-406a-80f0-4025a57b862a,0175.jpg,Engaged,Confused,20,Male,Laptop,0.71,90
f02e5aeb-10e4-4bdc-9bfc-ebe4b8159191,0176.jpg,Engaged,Confused,21,Female,Tablet,0.34,61
ea68c04a-a58f-4ad2-bc41-b721167c7f87,0177.jpg,Engaged,Confused,25,Male,Tablet,0.85,36
532333e7-c2f9-419a-95a9-1c1d7a14ad8a,0178.jpg,Engaged,Confused,23,Female,Mobile,0.46,110
53e00a7b-cde1-4eec-9c92-2507d0c09e76,0179.jpg,Engaged,Confused,18,Male,Laptop,0.62,30
7547d298-60be-4660-bfb4-e955461f8cc9,0180.jpg,Engaged,Confused,19,Female,Mobile,0.97,44
d44a0494-bf48-4f0a-a0b8-32459ce60b5b,0181.jpg,Engaged,Confused,24,Male,Tablet,0.69,39
6bdcb609-641e-4669-9bb9-bd2808680d1a,0182.jpg,Engaged,Confused,24,Female,Laptop,0.31,90
f7b2e223-7bc4-4aaa-8eae-73bf1ac1b5a2,0183.jpg,Engaged,Confused,23,Female,Mobile,0.44,115
ba3db47a-bfec-4ef9-9ac8-a2172615147e,0184.jpg,Engaged,Confused,23,Female,Laptop,0.88,104
768d6675-eaeb-4dc4-befc-977adccf02d6,0185.jpg,Engaged,Confused,24,Female,Mobile,0.78,113
c5c7bce1-411c-40aa-9c8d-297f602027ac,0186.jpg,Engaged,Confused,19,Male,Mobile,0.62,14
e6ada606-1b94-4a25-b3af-2c85360610fb,0187.jpg,Engaged,Confused,23,Male,Mobile,0.6,33
396e00ca-6266-435e-be28-8379a04cc349,0188.jpg,Engaged,Confused,18,Female,Laptop,0.75,21
d484ef45-ffb7-47ef-8791-20d91cf05151,0189.jpg,Engaged,Confused,21,Male,Tablet,0.94,78
8cd4a12a-f371-4779-9f06-c185daa974b0,0190.jpg,Engaged,Confused,25,Female,Tablet,0.67,34
6812406f-9365-42b6-b430-bf76f4fdd843,0191.jpg,Engaged,Confused,24,Male,Mobile,0.67,102
97116747-46ea-48c4-afac-1e86d3c7385c,0192.jpg,Engaged,Confused,25,Female,Mobile,0.43,46
8345c30a-5338-4f55-b52d-2e21cc4a1441,0193.jpg,Engaged,Confused,24,Male,Mobile,0.57,104
8e44d812-a437-4051-9cc4-83ffdee34de5,0194.jpg,Engaged,Confused,23,Female,Mobile,0.46,55
1b868b25-0a05-4335-be82-f07db2251271,0195.jpg,Engaged,Confused,18,Female,Mobile,0.75,120
db83a3e6-9d77-40db-ad1a-ff745f4e3665,0196.jpg,Engaged,Confused,21,Female,Tablet,0.91,112
f5fdd8aa-8934-46a6-a9c0-ac7d2e9fa224,0197.jpg,Engaged,Confused,23,Female,Tablet,0.63,102
4d9ca3d8-ad1f-4b65-8ebf-ba6a4ef64218,0198.jpg,Engaged,Confused,18,Female,Laptop,0.97,55
a8f9aeb4-20b5-40ed-ac9c-51211f90d850,0199.jpg,Engaged,Confused,19,Female,Laptop,0.42,22
f9fe5090-5813-4058-a21d-d98cb72b3823,0200.jpg,Engaged,Confused,20,Male,Tablet,0.88,104
9800f9d9-b622-496e-8829-f32c5625956b,0201.jpg,Engaged,Confused,23,Female,Mobile,0.47,68
69a13655-348c-4f8d-a000-f0dec6256db9,0202.jpg,Engaged,Confused,19,Female,Mobile,0.87,49
ddb23e7b-4871-4270-9c5e-08c70cd2cd28,0203.jpg,Engaged,Confused,25,Female,Mobile,0.58,118
4aa3a389-feb0-4bad-bcd0-e6a1a541385a,0204.jpg,Engaged,Confused,21,Female,Tablet,0.97,92
91756be6-83d8-4f15-82b8-2050c851f13f,0205.jpg,Engaged,Confused,18,Male,Mobile,0.82,102
86093942-96b6-451c-b7bf-943aafc7cc2c,0206.jpg,Engaged,Confused,23,Male,Laptop,0.9,20
95409c27-3798-459a-a7f6-9f5d259d6f4f,0207.jpg,Engaged,Confused,23,Female,Tablet,0.47,87
002f9eef-bf73-45e7-a22e-17701346c32c,0208.jpg,Engaged,Confused,18,Male,Mobile,0.61,10
bf837d7f-af2a-4176-81b1-6e1a3989bbb8,0209.jpg,Engaged,Confused,24,Male,Laptop,0.38,96
94ac05ab-80a7-487e-b28b-fa0556d0b6bd,0210.jpg,Engaged,Confused,22,Male,Tablet,0.71,53
289e7e20-b178-46f8-9592-471d208970f7,0211.jpg,Engaged,Confused,20,Male,Mobile,0.53,44
23226cf8-6997-4d99-a128-1c5ef4604f68,0212.jpg,Engaged,Confused,18,Male,Mobile,0.31,62
a4e860b3-10a2-499e-bc17-a58190331315,0213.jpg,Engaged,Confused,24,Female,Mobile,0.31,39
06fb7c9b-cbff-4f09-be08-3f551c7af1f6,0214.jpg,Engaged,Confused,20,Male,Tablet,0.81,45
25bcc155-e342-40fe-85d7-9b8aa1630074,0215.jpg,Engaged,Confused,24,Female,Mobile,0.4,99
a9daffa8-8273-4b77-813c-2b071095594c,0216.jpg,Engaged,Confused,25,Female,Mobile,0.94,40
bf67af9e-5baf-4e83-a82b-9b7eca2878f3,0217.jpg,Engaged,Confused,24,Female,Tablet,0.89,51
b29a107a-c3cc-4230-9586-c3af7ead2264,0218.jpg,Engaged,Confused,20,Female,Laptop,0.38,101
8e0ca11f-ec60-4fad-b3b9-cb8478ba5043,0219.jpg,Engaged,Confused,21,Male,Tablet,0.33,37
eb86c17a-26f0-4ae3-9d60-fc7d1ceb0ac1,0220.jpg,Engaged,Confused,19,Male,Tablet,0.43,103
1fa1c734-3a68-408b-a1d1-5fbce98a29a8,0221.jpg,Engaged,Confused,20,Male,Mobile,0.7,22
cd9de715-2453-4e08-ac42-b64c1aa8a08e,0222.jpg,Engaged,Confused,18,Male,Laptop,0.57,93
cbff01b9-8ffd-412b-b10c-db4b2c50e36d,0223.jpg,Engaged,Confused,19,Male,Tablet,0.89,76
0711fbd7-8db6-46db-93a8-14b39acb7b0c,0224.jpg,Engaged,Confused,18,Female,Mobile,0.32,35
2def1d7f-bdf1-45fe-9104-9f3de3ac5179,0225.jpg,Engaged,Confused,20,Male,Tablet,0.99,119
712c1b1c-e4f2-4d31-9228-ee771877186a,0226.jpg,Engaged,Confused,20,Female,Laptop,0.95,30
8499c699-7283-42b0-b384-a13bfd042151,0227.jpg,Engaged,Confused,25,Female,Tablet,0.32,65
6497b0a3-2f76-411e-918b-dbd7d60b1208,0228.jpg,Engaged,Confused,25,Female,Tablet,0.61,24
3511c68a-75c1-470a-aa51-e3e3b2eb8be9,0229.jpg,Engaged,Confused,24,Female,Tablet,0.59,83
d4fc6e28-85a1-4497-b641-7002920fdc5a,0230.jpg,Engaged,Confused,19,Female,Laptop,0.72,99
6d2d072e-c47a-4ff9-8be0-47a834dd84a9,0231.jpg,Engaged,Confused,24,Female,Tablet,0.58,52
c0ebadb9-d3b3-45ef-bdf1-bc01fefc7d93,0232.jpg,Engaged,Confused,19,Female,Laptop,0.47,90
0f19479d-21b7-4370-a1ce-887a6cb3fda3,0233.jpg,Engaged,Confused,19,Female,Tablet,0.38,17
26bb4cde-aaeb-4957-9a5f-be41ec240873,0234.jpg,Engaged,Confused,20,Female,Tablet,0.64,48
f2942266-f9b3-4f58-aea9-6052cc1667d6,0235.jpg,Engaged,Confused,22,Male,Laptop,0.84,54
6eca2858-ca75-440a-a4e5-61542d13d9b3,0236.jpg,Engaged,Confused,20,Female,Tablet,0.97,99
43eea6d5-b63e-4a53-82cd-dcfee90a6a7f,0237.jpg,Engaged,Confused,22,Male,Tablet,0.94,71
65698242-0ad2-4211-a3cb-3b98cd0f58b6,0238.jpg,Engaged,Confused,23,Female,Laptop,0.65,82
80a9b569-5333-4aca-a3d5-0caa7253a865,0239.jpg,Engaged,Confused,21,Female,Tablet,0.36,71
95b902c3-b351-423a-83d7-e30c16d0e4ac,0240.jpg,Engaged,Confused,22,Male,Mobile,0.52,40
fc70d860-0229-4397-8b3e-46084351ca50,0241.jpg,Engaged,Confused,19,Male,Laptop,0.32,21
c3d9f0f5-b17d-47b5-bd82-215f707b8a58,0242.jpg,Engaged,Confused,25,Female,Tablet,0.36,89
25dd9f53-309e-4f35-a0f2-0cb06a1de824,0243.jpg,Engaged,Confused,22,Female,Laptop,0.39,28
dc096d05-4492-4ec3-8fdf-eb3766f74250,0244.jpg,Engaged,Confused,23,Male,Laptop,0.82,89
4c5a6bc6-6a19-4ccf-b602-19e09d32897b,0245.jpg,Engaged,Confused,22,Female,Tablet,0.49,98
40db0b35-d0aa-4b8b-aa06-ed326195dfb4,0246.jpg,Engaged,Confused,20,Female,Tablet,0.39,91
7c104697-a599-4eec-9ab4-893e8f0286f2,0247.jpg,Engaged,Confused,23,Female,Tablet,0.77,84
3de20817-dead-47e3-8913-cace627573d4,0248.jpg,Engaged,Confused,19,Male,Mobile,0.66,56
265ae783-2731-45f4-9870-ea1543703b35,0249.jpg,Engaged,Confused,19,Female,Laptop,0.51,119
6f3fa69f-0fe7-4d81-a71e-f92052923389,0250.jpg,Engaged,Confused,19,Male,Tablet,0.56,110
416f94da-b417-4cdb-b0c8-aa76e25ce6c8,0251.jpg,Engaged,Confused,20,Female,Tablet,0.91,93
9a4acc84-f705-439d-bc84-709d0f6bb5b8,0252.jpg,Engaged,Confused,25,Female,Tablet,0.43,101
cf11a71a-7f25-4093-8e24-bcae3fa7f6bc,0253.jpg,Engaged,Confused,20,Female,Laptop,0.9,95
d995230d-2870-4f13-a485-9bc84189a716,0254.jpg,Engaged,Confused,19,Male,Tablet,0.89,106
5f29a602-f808-4cd3-b7bb-089b368d03f6,0255.jpg,Engaged,Confused,19,Male,Laptop,0.78,92
0a83bfae-e32f-4c69-910c-26ea8e07fa09,0256.jpg,Engaged,Confused,25,Female,Laptop,0.82,43
0060080b-d5d2-47d6-acfb-f5cb26869004,0257.jpg,Engaged,Confused,22,Male,Laptop,0.39,31
769e2f07-fafa-41bf-b21a-1255bce75a6d,0258.jpg,Engaged,Confused,24,Male,Laptop,0.6,15
b49eec84-6308-41a8-a3df-49f81d601c03,0259.jpg,Engaged,Confused,20,Female,Laptop,0.95,98
a1a64fe5-2d37-4578-9f52-ef52085efa81,0260.jpg,Engaged,Confused,25,Female,Mobile,1.0,17
2d08dbf0-c601-4a5a-a088-3ee6802b9adb,0261.jpg,Engaged,Confused,19,Female,Tablet,0.38,53
8da2baf7-9c38-4b9c-b4cb-798f21f8f09a,0262.jpg,Engaged,Confused,22,Female,Laptop,0.68,119
963c0999-e047-456e-8e63-252d50ffd657,0263.jpg,Engaged,Confused,25,Male,Mobile,0.35,102
c0ed73fd-9941-4d10-b081-1bce72b9d15f,0264.jpg,Engaged,Confused,21,Female,Mobile,0.58,68
7076c937-a641-4d13-b7d9-41635bbe077e,0265.jpg,Engaged,Confused,18,Female,Mobile,0.8,119
4b1d2854-35f7-44d1-8781-bc3cdaf45224,0266.jpg,Engaged,Confused,24,Female,Laptop,0.35,84
b64aa07a-edcb-464d-beb8-6c390dc9cc14,0267.jpg,Engaged,Confused,21,Female,Tablet,0.82,65
f07f9d1c-9e4e-458c-b26f-66295dedf658,0268.jpg,Engaged,Confused,18,Male,Tablet,0.96,109
1f0cf89e-3009-434a-a382-0c58829a6ac3,0269.jpg,Engaged,Confused,20,Male,Mobile,0.79,108
0dfd3229-ea78-4c6f-97bb-534c04c92b10,0270.jpg,Engaged,Confused,24,Male,Laptop,0.78,30
82625b70-e53a-40cc-8440-e8e02b0c8472,0271.jpg,Engaged,Confused,23,Male,Tablet,0.43,90
c188b499-e09e-46c3-b021-dfb9f8d7e215,0272.jpg,Engaged,Confused,25,Female,Tablet,0.58,59
758a29f3-516f-45c1-b6a4-3dbd07dda049,0273.jpg,Engaged,Confused,19,Female,Tablet,0.86,22
232759a9-3255-46c2-9eb3-cd83ed0e2bda,0274.jpg,Engaged,Confused,19,Male,Tablet,0.72,109
ce537eca-def9-4279-986a-375742bc35a3,0275.jpg,Engaged,Confused,22,Male,Mobile,0.45,25
e11abf9b-ea65-4503-9088-70259b36de5b,0276.jpg,Engaged,Confused,23,Female,Mobile,0.39,87
caf01daf-a238-4de9-a52a-f028f4104069,0277.jpg,Engaged,Confused,23,Female,Tablet,0.89,33
111eb974-5fdb-4484-8453-6fb29784e4a2,0278.jpg,Engaged,Confused,19,Male,Tablet,0.79,49
80092310-8e46-4231-a03c-c742cadb3632,0279.jpg,Engaged,Confused,23,Female,Laptop,0.98,36
c9dbe63a-07ad-40cd-a4dc-1611ffc86a99,0280.jpg,Engaged,Confused,23,Female,Laptop,0.8,28
e883f489-4040-4375-a0f8-a7026187e965,0281.jpg,Engaged,Confused,21,Female,Laptop,0.45,99
782a7669-f57f-492a-82bd-a678063e2365,0282.jpg,Engaged,Confused,22,Female,Mobile,0.8,24
296c0165-0097-46d0-b818-f90e00eb6b3a,0283.jpg,Engaged,Confused,24,Female,Tablet,0.47,63
b0c9afb2-df0e-40da-a868-53d16987567d,0284.jpg,Engaged,Confused,19,Male,Tablet,0.56,28
e41e2c90-0cec-487d-95e5-916b5e0e787c,0285.jpg,Engaged,Confused,19,Female,Laptop,0.75,34
66ab1afe-54b8-4167-96d7-2797c855e43b,0286.jpg,Engaged,Confused,20,Male,Tablet,0.86,73
11205fb3-3837-4818-b767-ab86fb6fefd3,0287.jpg,Engaged,Confused,19,Male,Laptop,0.81,42
abdd19b0-c897-4a41-be03-a671f0f49382,0288.jpg,Engaged,Confused,19,Female,Mobile,0.93,119
f06b4d53-9935-443d-a499-796e3f1c5781,0289.jpg,Engaged,Confused,20,Male,Mobile,0.42,110
6110ae3b-d49b-4aae-b3e4-a11a1b768134,0290.jpg,Engaged,Confused,25,Male,Laptop,0.92,29
1e8fcc87-a42f-4928-bd7a-48b4c3e4e9a2,0291.jpg,Engaged,Confused,25,Female,Laptop,0.73,92
32826a42-e0dd-4494-b614-734f452ef725,0292.jpg,Engaged,Confused,23,Male,Mobile,0.84,92
36384449-cf0b-40fd-8c46-c04266630593,0293.jpg,Engaged,Confused,25,Male,Laptop,0.45,24
